Date;HomeTeam;AwayTeam;Leverkusen_Local;Faltas_Leverkusen;Amarillas_Leverkusen;Rojas_Leverkusen;Disparos_Leverkusen;Resultado_Leverkusen;Score (Leverkusen - Frankfurt);Árbitros
3/11/00;Leverkusen;Ein Frankfurt;1.0;13.0;1.0;0.0;26.0;Victoria;1 - 0;Herbert Fandel 
7/4/01;Ein Frankfurt;Leverkusen;0.0;20.0;4.0;1.0;11.0;Victoria;3 - 1;Jörg Kessler
7/8/05;Ein Frankfurt;Leverkusen;0.0;23.0;0.0;0.0;13.0;Victoria;4 - 1;Florian Meyer
28/1/06;Leverkusen;Ein Frankfurt;1.0;19.0;2.0;0.0;19.0;Victoria;2 - 1;Herbert Fandel
17/9/06;Ein Frankfurt;Leverkusen;0.0;22.0;4.0;0.0;19.0;Derrota;1 - 3;Herbert Fandel
10/2/07;Leverkusen;Ein Frankfurt;1.0;23.0;2.0;1.0;13.0;Empate;2 - 2;Michael Kempter
7/10/07;Ein Frankfurt;Leverkusen;0.0;17.0;1.0;0.0;22.0;Derrota;1 - 2;Dr. Felix Brych
29/3/08;Leverkusen;Ein Frankfurt;1.0;18.0;2.0;0.0;18.0;Derrota;0 - 2;Herbert Fandel
18/10/08;Ein Frankfurt;Leverkusen;0.0;23.0;5.0;0.0;14.0;Victoria;2 - 0;Peter Gagelmann
21/3/09;Leverkusen;Ein Frankfurt;1.0;16.0;2.0;0.0;14.0;Empate;1 - 1;Markus Schmidt
6/11/09;Leverkusen;Ein Frankfurt;1.0;17.0;0.0;0.0;16.0;Victoria;4 - 0;Felix Zwayer
3/4/10;Ein Frankfurt;Leverkusen;0.0;22.0;5.0;1.0;15.0;Derrota;2 - 3;Wolfgang Stark
22/9/10;Leverkusen;Ein Frankfurt;1.0;9.0;2.0;0.0;13.0;Victoria;2 - 1;Peter Sippel
12/2/11;Ein Frankfurt;Leverkusen;0.0;15.0;1.0;0.0;12.0;Victoria;3 - 0;Guido Winkmann
25/8/12;Ein Frankfurt;Leverkusen;0.0;22.0;2.0;0.0;19.0;Derrota;1 - 2;Thorsten Kinhöfer
19/1/13;Leverkusen;Ein Frankfurt;1.0;21.0;1.0;0.0;22.0;Victoria;3 - 1;Wolfgang Stark
15/12/13;Leverkusen;Ein Frankfurt;1.0;15.0;4.0;0.0;15.0;Derrota;0 - 1;Wolfgang Stark
3/5/14;Ein Frankfurt;Leverkusen;0.0;13.0;1.0;0.0;21.0;Victoria;2 - 0 ;Dr. Jochen Drees
20/12/14;Leverkusen;Ein Frankfurt;1.0;18.0;3.0;0.0;16.0;Empate;1 - 1;Wolfgang Stark
23/5/15;Ein Frankfurt;Leverkusen;0.0;14.0;0.0;0.0;19.0;Derrota;1 - 2;Tobias Welz
21/11/15;Ein Frankfurt;Leverkusen;0.0;19.0;1.0;0.0;17.0;Victoria;3 - 1;Deniz Aytekin
16/4/16;Leverkusen;Ein Frankfurt;1.0;15.0;4.0;0.0;12.0;Victoria;3 - 0;Deniz Aytekin
17/9/16;Ein Frankfurt;Leverkusen;0.0;14.0;0.0;0.0;7.0;Derrota;1 - 2;Christian Dingert
11/2/17;Leverkusen;Ein Frankfurt;1.0;10.0;2.0;0.0;17.0;Victoria;3 - 0;Benjamin Cortus
25/11/17;Ein Frankfurt;Leverkusen;0.0;14.0;3.0;0.0;13.0;Victoria;1 - 0 ;Patrick Ittrich 
14/4/18;Leverkusen;Ein Frankfurt;1.0;15.0;3.0;0.0;11.0;Victoria;4 - 1;Dr. Felix Brych
16/12/2018;Ein Frankfurt;Leverkusen;0.0;8.0;2.0;0.0;12.0;Derrota;1 - 2;Dr. Felix Brych
5/5/19;Leverkusen;Ein Frankfurt;1.0;3.0;0.0;0.0;17.0;Victoria;6 - 1;Robert Hartmann
18/10/2019;Ein Frankfurt;Leverkusen;0.0;12.0;1.0;0.0;19.0;Derrota;0 - 3;Christian Dingert
7/3/20;Leverkusen;Ein Frankfurt;1.0;10.0;1.0;0.0;14.0;Victoria;4 - 0;Dr. Felix Brych
2/1/21;Ein Frankfurt;Leverkusen;0.0;6.0;0.0;0.0;10.0;Derrota;1 - 2;Dr. Felix Brych
24/4/21;Leverkusen;Ein Frankfurt;1.0;9.0;1.0;0.0;18.0;Victoria;3 - 1;Felix Zwayer
12/12/2021;Ein Frankfurt;Leverkusen;0.0;11.0;3.0;0.0;11.0;Derrota;2 - 5;Marco Fritz
2/5/22;Leverkusen;Ein Frankfurt;1.0;5.0;0.0;0.0;11.0;Victoria;2 - 0;Benjamin Cortus
15/10/2022;Ein Frankfurt;Leverkusen;0.0;9.0;4.0;1.0;5.0;Derrota;1 - 5;Frank Willenborg
8/4/23;Leverkusen;Ein Frankfurt;1.0;9.0;1.0;0.0;13.0;Victoria;3 - 1;Robert Hartmann
17/12/2023;Leverkusen;Ein Frankfurt;1.0;4.0;1.0;0.0;14.0;Victoria;3 - 0;Christian Dingert
5/5/24;Ein Frankfurt;Leverkusen;0.0;4.0;0.0;0.0;10.0;Victoria;5 - 1;Christian Dingert
19/10/2024;Leverkusen;Ein Frankfurt;1.0;9.0;2.0;0.0;27.0;Victoria;2 - 1;Dr. Felix Brych
1/3/25;Ein Frankfurt;Leverkusen;0.0;7.0;1.0;0.0;20.0;Victoria;4 - 1;Felix Zwayer
12/1/21;Leverkusen;Frankfurt;1.0;7.0;2.0;1.0;14.0;Victoria;4 - 1;Christian Dingert
22/9/10;Ein Frankfurt;Leverkusen;1.0;10.0;2.0;0.0;13.0;Victoria;2 - 1;Peter Sippel
12/9/25;Leverkusen;Ein Frankfurt;1.0;10.0;3.0;2.0;18.0;Victoria;3 - 1;Deniz Aytekin
